Analyzing A
A Combo Size 2
20140504-14-24-30	At\0.884413812908	[state","age_oldest","C_previous","previous]
20140504-14-24-49	At\0.884413812908	[state","age_youngest","married_couple","previous]
20140504-14-24-58	At\0.884413812908	[state","age_youngest","C_previous","previous]
20140504-14-25-09	At\0.884413812908	[state","married_couple","C_previous","previous]
20140504-14-26-03	At\0.884413812908	[group_size","homeowner","car_age","previous]
20140504-14-26-40	At\0.884413812908	[group_size","homeowner","age_oldest","previous]
20140504-14-27-09	At\0.884413812908	[group_size","homeowner","age_youngest","previous]
20140504-14-27-28	At\0.884413812908	[group_size","homeowner","married_couple","previous]
20140504-14-27-37	At\0.884413812908	[group_size","homeowner","C_previous","previous]
20140504-14-28-17	At\0.884413812908	[group_size","car_age","age_oldest","previous]
20140504-14-28-46	At\0.884413812908	[group_size","car_age","age_youngest","previous]
20140504-14-29-06	At\0.884413812908	[group_size","car_age","married_couple","previous]
20140504-14-29-16	At\0.884413812908	[group_size","car_age","C_previous","previous]
20140504-14-29-45	At\0.884413812908	[group_size","age_oldest","age_youngest","previous]
20140504-14-30-04	At\0.884413812908	[group_size","age_oldest","married_couple","previous]
20140504-14-30-14	At\0.884413812908	[group_size","age_oldest","C_previous","previous]
20140504-14-30-33	At\0.884413812908	[group_size","age_youngest","married_couple","previous]
20140504-14-30-43	At\0.884413812908	[group_size","age_youngest","C_previous","previous]
20140504-14-30-52	At\0.884413812908	[group_size","married_couple","C_previous","previous]
20140504-14-31-32	At\0.884413812908	[homeowner","car_age","age_oldest","previous]
20140504-14-32-02	At\0.884413812908	[homeowner","car_age","age_youngest","previous]
20140504-14-32-21	At\0.884413812908	[homeowner","car_age","married_couple","previous]
20140504-14-32-31	At\0.884413812908	[homeowner","car_age","C_previous","previous]
20140504-14-33-00	At\0.884413812908	[homeowner","age_oldest","age_youngest","previous]
20140504-14-33-19	At\0.884413812908	[homeowner","age_oldest","married_couple","previous]
20140504-14-33-29	At\0.884413812908	[homeowner","age_oldest","C_previous","previous]
20140504-14-33-48	At\0.884413812908	[homeowner","age_youngest","married_couple","previous]
20140504-14-33-57	At\0.884413812908	[homeowner","age_youngest","C_previous","previous]
20140504-14-34-07	At\0.884413812908	[homeowner","married_couple","C_previous","previous]
20140504-14-34-37	At\0.884413812908	[car_age","age_oldest","age_youngest","previous]
20140504-14-34-56	At\0.884413812908	[car_age","age_oldest","married_couple","previous]
20140504-14-35-07	At\0.884413812908	[car_age","age_oldest","C_previous","previous]
20140504-14-35-26	At\0.884413812908	[car_age","age_youngest","married_couple","previous]
20140504-14-35-37	At\0.884413812908	[car_age","age_youngest","C_previous","previous]
20140504-14-35-46	At\0.884413812908	[car_age","married_couple","C_previous","previous]
20140504-14-36-06	At\0.884413812908	[age_oldest","age_youngest","married_couple","previous]
20140504-14-36-16	At\0.884413812908	[age_oldest","age_youngest","C_previous","previous]
20140504-14-36-25	At\0.884413812908	[age_oldest","married_couple","C_previous","previous]
20140504-14-36-35	At\0.884413812908	[age_youngest","married_couple","C_previous","previous]
A Combo Size 5
20140504-14-37-39	At\0.884413812908	[day","state","group_size","homeowner","previous]
20140504-14-38-36	At\0.884413812908	[day","state","group_size","car_age","previous]
20140504-14-39-19	At\0.884413812908	[day","state","group_size","age_oldest","previous]
20140504-14-39-52	At\0.884413812908	[day","state","group_size","age_youngest","previous]
20140504-14-40-13	At\0.884413812908	[day","state","group_size","married_couple","previous]
20140504-14-40-24	At\0.884413812908	[day","state","group_size","C_previous","previous]
20140504-14-41-20	At\0.884413812908	[day","state","homeowner","car_age","previous]
20140504-14-42-03	At\0.884413812908	[day","state","homeowner","age_oldest","previous]
20140504-14-42-35	At\0.884413812908	[day","state","homeowner","age_youngest","previous]
20140504-14-42-57	At\0.884413812908	[day","state","homeowner","married_couple","previous]
20140504-14-43-08	At\0.884413812908	[day","state","homeowner","C_previous","previous]
20140504-14-43-52	At\0.884413812908	[day","state","car_age","age_oldest","previous]
20140504-14-44-26	At\0.884413812908	[day","state","car_age","age_youngest","previous]
20140504-14-44-49	At\0.884413812908	[day","state","car_age","married_couple","previous]
20140504-14-45-01	At\0.884413812908	[day","state","car_age","C_previous","previous]
20140504-14-45-33	At\0.884413812908	[day","state","age_oldest","age_youngest","previous]
20140504-14-45-55	At\0.884413812908	[day","state","age_oldest","married_couple","previous]
20140504-14-46-06	At\0.884413812908	[day","state","age_oldest","C_previous","previous]
20140504-14-46-28	At\0.884413812908	[day","state","age_youngest","married_couple","previous]
20140504-14-46-39	At\0.884413812908	[day","state","age_youngest","C_previous","previous]
20140504-14-46-50	At\0.884413812908	[day","state","married_couple","C_previous","previous]
20140504-14-47-45	At\0.884413812908	[day","group_size","homeowner","car_age","previous]
20140504-14-48-28	At\0.884413812908	[day","group_size","homeowner","age_oldest","previous]
20140504-14-49-00	At\0.884413812908	[day","group_size","homeowner","age_youngest","previous]
20140504-14-49-21	At\0.884413812908	[day","group_size","homeowner","married_couple","previous]
20140504-14-49-32	At\0.884413812908	[day","group_size","homeowner","C_previous","previous]
20140504-14-50-17	At\0.884413812908	[day","group_size","car_age","age_oldest","previous]
20140504-14-50-52	At\0.884413812908	[day","group_size","car_age","age_youngest","previous]
20140504-14-51-14	At\0.884413812908	[day","group_size","car_age","married_couple","previous]
20140504-14-51-26	At\0.884413812908	[day","group_size","car_age","C_previous","previous]
20140504-14-51-58	At\0.884413812908	[day","group_size","age_oldest","age_youngest","previous]
20140504-14-52-20	At\0.884413812908	[day","group_size","age_oldest","married_couple","previous]
20140504-14-52-31	At\0.884413812908	[day","group_size","age_oldest","C_previous","previous]
20140504-14-52-53	At\0.884413812908	[day","group_size","age_youngest","married_couple","previous]
20140504-14-53-04	At\0.884413812908	[day","group_size","age_youngest","C_previous","previous]
20140504-14-53-15	At\0.884413812908	[day","group_size","married_couple","C_previous","previous]
20140504-14-53-59	At\0.884413812908	[day","homeowner","car_age","age_oldest","previous]
20140504-14-54-33	At\0.884413812908	[day","homeowner","car_age","age_youngest","previous]
20140504-14-54-55	At\0.884413812908	[day","homeowner","car_age","married_couple","previous]
20140504-14-55-07	At\0.884413812908	[day","homeowner","car_age","C_previous","previous]
20140504-14-55-39	At\0.884413812908	[day","homeowner","age_oldest","age_youngest","previous]
20140504-14-56-00	At\0.884413812908	[day","homeowner","age_oldest","married_couple","previous]
20140504-14-56-11	At\0.884413812908	[day","homeowner","age_oldest","C_previous","previous]
20140504-14-56-33	At\0.884413812908	[day","homeowner","age_youngest","married_couple","previous]
20140504-14-56-44	At\0.884413812908	[day","homeowner","age_youngest","C_previous","previous]
20140504-14-56-55	At\0.884413812908	[day","homeowner","married_couple","C_previous","previous]
20140504-14-57-28	At\0.884413812908	[day","car_age","age_oldest","age_youngest","previous]
20140504-14-57-51	At\0.884413812908	[day","car_age","age_oldest","married_couple","previous]
20140504-14-58-02	At\0.884413812908	[day","car_age","age_oldest","C_previous","previous]
20140504-14-58-25	At\0.884413812908	[day","car_age","age_youngest","married_couple","previous]
20140504-14-58-36	At\0.884413812908	[day","car_age","age_youngest","C_previous","previous]
20140504-14-58-48	At\0.884413812908	[day","car_age","married_couple","C_previous","previous]
20140504-14-59-10	At\0.884413812908	[day","age_oldest","age_youngest","married_couple","previous]
20140504-14-59-21	At\0.884413812908	[day","age_oldest","age_youngest","C_previous","previous]
20140504-14-59-32	At\0.884413812908	[day","age_oldest","married_couple","C_previous","previous]
20140504-14-59-43	At\0.884413812908	[day","age_youngest","married_couple","C_previous","previous]
20140504-15-00-39	At\0.884413812908	[state","group_size","homeowner","car_age","previous]
20140504-15-01-21	At\0.884413812908	[state","group_size","homeowner","age_oldest","previous]
20140504-15-01-54	At\0.884413812908	[state","group_size","homeowner","age_youngest","previous]
20140504-15-02-17	At\0.884413812908	[state","group_size","homeowner","married_couple","previous]
20140504-15-02-28	At\0.884413812908	[state","group_size","homeowner","C_previous","previous]
20140504-15-03-13	At\0.884413812908	[state","group_size","car_age","age_oldest","previous]
20140504-15-03-47	At\0.884413812908	[state","group_size","car_age","age_youngest","previous]
20140504-15-04-09	At\0.884413812908	[state","group_size","car_age","married_couple","previous]
20140504-15-04-20	At\0.884413812908	[state","group_size","car_age","C_previous","previous]
20140504-15-04-53	At\0.884413812908	[state","group_size","age_oldest","age_youngest","previous]
20140504-15-05-15	At\0.884413812908	[state","group_size","age_oldest","married_couple","previous]
20140504-15-05-26	At\0.884413812908	[state","group_size","age_oldest","C_previous","previous]
20140504-15-05-47	At\0.884413812908	[state","group_size","age_youngest","married_couple","previous]
20140504-15-05-58	At\0.884413812908	[state","group_size","age_youngest","C_previous","previous]
20140504-15-06-09	At\0.884413812908	[state","group_size","married_couple","C_previous","previous]
20140504-15-06-54	At\0.884413812908	[state","homeowner","car_age","age_oldest","previous]
20140504-15-07-28	At\0.884413812908	[state","homeowner","car_age","age_youngest","previous]
20140504-15-07-50	At\0.884413812908	[state","homeowner","car_age","married_couple","previous]
20140504-15-08-01	At\0.884413812908	[state","homeowner","car_age","C_previous","previous]
20140504-15-08-34	At\0.884413812908	[state","homeowner","age_oldest","age_youngest","previous]
20140504-15-08-56	At\0.884413812908	[state","homeowner","age_oldest","married_couple","previous]
20140504-15-09-07	At\0.884413812908	[state","homeowner","age_oldest","C_previous","previous]
20140504-15-09-28	At\0.884413812908	[state","homeowner","age_youngest","married_couple","previous]
20140504-15-09-39	At\0.884413812908	[state","homeowner","age_youngest","C_previous","previous]
20140504-15-09-50	At\0.884413812908	[state","homeowner","married_couple","C_previous","previous]
20140504-15-10-24	At\0.884413812908	[state","car_age","age_oldest","age_youngest","previous]
20140504-15-10-46	At\0.884413812908	[state","car_age","age_oldest","married_couple","previous]
20140504-15-10-58	At\0.884413812908	[state","car_age","age_oldest","C_previous","previous]
